sr_no,procedure,category,min_price,avg_price,max_price
1040,Imperforate Anus Low Anomaly - Perineal Anoplasty,ent,12000.0,13800.0,13800.0
1041,Imperforate Anus High Anomaly -Sacroabdomino Perineal Pull Through,ent,12500.0,14375.0,14375.0
1042,Imperforate Anus High Anomaly - Closure of Colostomy,ent,8625.0,9919.0,9919.0
1043,Intususception Operation,ent,18630.0,21425.0,21425.0
1044,Choledochoduodenostomy for Atresia of Extra Hepatic Billiary Duct,ent,15000.0,17250.0,17250.0
1045,Operation of Choledochal Cyst,ent,16000.0,18400.0,18400.0
1046,Nephrectomy for -Pyonephrosis,ent,17000.0,19550.0,19550.0
1047,Nephrectomy for - Hydronephrosis,ent,15000.0,17250.0,17250.0
1048,Nephrectomy for -Wilms Tumour,ent,13500.0,15525.0,15525.0
1049,Paraortic Lymphadenoctomy with Nephrectomy for Wilms Tumour,ent,20000.0,23000.0,23000.0
1050,Sacro-Coccygeal Teratoma Excision,ent,14000.0,16100.0,16100.0
1051,Neuroblastoma Debulking,ent,16000.0,18400.0,18400.0
1052,Neuroblastoma Total Excision,ent,18630.0,21425.0,21425.0
1053,Rhabdomyosarcoma wide Excision,ent,15000.0,17250.0,17250.0
1054,Congenital Atresia & Stenosis of Small Intestine,ent,19000.0,21850.0,21850.0
1055,Muconium ileus,ent,16000.0,18400.0,18400.0
1056,Mal-rotation & Volvulus of the Midgut,ent,15000.0,17250.0,17250.0
1057,Excision of Meckle’s Deverticulum,ent,12000.0,13800.0,13800.0
1058,Other Major Surgery,ent,27000.0,31050.0,31050.0
1059,Other Minor Surgery,ent,11050.0,13000.0,13000.0
1060,Primary Suturing of Wound,ent,300.0,345.0,345.0
1061,Injection of Keloids - Ganglion,ent,989.0,1138.0,1138.0
1062,Injection of Keloids - Haemangioma,ent,1035.0,1191.0,1191.0
1063,Free Grafts - Wolfe Grafts,ent,1725.0,1984.0,1984.0
1064,Free Grafts - Theirech- Small Area 5%,ent,6728.0,7736.0,7736.0
1065,Free Grafts - Large Area 10%,ent,7200.0,8280.0,8280.0
1066,Free Grafts - Very Large Area 20% and above.,ent,9315.0,10713.0,10713.0
1067,Skin Flaps - Rotation Flaps,ent,8073.0,9284.0,9284.0
1068,Skin Flaps - Advancement Flaps,ent,11250.0,12938.0,12938.0
1069,Skin Flaps - Direct- cross Leg Flaps- Cross Arm Flap,ent,12500.0,14375.0,14375.0
1070,Skin Flaps - Cross Finger,ent,11250.0,12938.0,12938.0
1071,Skin Flaps - Abdominal,ent,9350.0,11000.0,11000.0
1072,Skin Flaps - Thoracic,ent,9350.0,11000.0,11000.0
1073,Skin Flaps - Arm Etc.,ent,11000.0,12650.0,12650.0
1074,Subcutaneous Pedicle Flaps Raising,ent,6900.0,7935.0,7935.0
1075,Subcutaneous Pedicle Flaps Delay,ent,5950.0,7000.0,7000.0
1076,Subcutaneous Pedicle Flaps Transfer,ent,5950.0,7000.0,7000.0
1077,Cartilage Grafting,ent,7763.0,8927.0,8927.0
1078,Reduction of Facial Fractures of Nose,ent,1380.0,1587.0,1587.0
1079,Reduction of Facial Fractures of Maxilla,ent,8000.0,9200.0,9200.0
1080,Reduction of Fractures of Mandible & Maxilla - Eye Let Splinting,ent,7475.0,8596.0,8596.0
1081,Reduction of Fractures of Mandible & Maxilla - Cast Netal Splints,ent,6900.0,7935.0,7935.0
1082,Reduction of Fractures of Mandible & Maxilla - Gumming Splints,ent,7500.0,8625.0,8625.0
1083,Internal Wire Fixation of Mandible & Maxilla,ent,11500.0,13225.0,13225.0
1084,Cleft Lip - repair.,ent,11500.0,13225.0,13225.0
1085,Cleft Palate Repair,ent,12650.0,14548.0,14548.0
1086,Primary Bone Grafting for alveolar cleft in Cleft Lip,ent,11500.0,13225.0,13225.0
1087,Secondary Surgery for Cleft Lip Deformity,ent,10000.0,11500.0,11500.0
1088,Secondary Surgery for Cleft Palate,ent,12650.0,14548.0,14548.0
1089,Reconstruction of Eyelid Defects - Minor,ent,6325.0,7274.0,7274.0
1090,Reconstruction of Eyelid Defects - Major,ent,8500.0,9775.0,9775.0
1091,Plastic Surgery of Different Regions of the Ear - Minor,ent,7245.0,8332.0,8332.0
1092,Plastic Surgery of Different Regions of the Ear - Major,ent,9315.0,10713.0,10713.0
1093,Plastic Surgery of the Nose - Minor,ent,7245.0,8332.0,8332.0
1094,Plastic Surgery of the Nose - Major,ent,8550.0,9833.0,9833.0
1095,Plastic Surgery for Facial Paralysis (Support with Reanimation),ent,14490.0,16664.0,16664.0
1096,Pendulous Breast - Mammoplasty,ent,13000.0,14950.0,14950.0
1097,Underdeveloped Breast Mammoplasty,ent,12000.0,13800.0,13800.0
1098,After Mastectomy (Reconstruction)Mammoplasty,ent,12000.0,13800.0,13800.0
1099,Syndactyly Repair,ent,11475.0,13500.0,13500.0
1100,Dermabrasion Face,ent,11903.0,13688.0,13688.0
1101,upto 30% Burns 1st Dressing,ent,152.0,175.0,175.0
1102,upto 30% Burns Subsequent Dressing,ent,124.0,143.0,143.0
1103,30% to 50% Burns 1st Dressing,ent,193.0,222.0,222.0
1104,30% to 50% Burns Subsequent Dressing,ent,152.0,175.0,175.0
1105,Extensive Burn -above 50% Frist Dressing,ent,276.0,317.0,317.0
1106,Extensive Burn -above 50% Subsequent dressing,ent,193.0,222.0,222.0
1107,Plaster Work,ent,255.0,300.0,300.0
1108,Fingers (post slab),ent,259.0,298.0,298.0
1109,Fingers full plaster,ent,259.0,298.0,298.0
1110,Colles Fracture - Below elbow,ent,978.0,1125.0,1125.0
1111,Colles Fracture - Full plaster,ent,994.0,1143.0,1143.0
1112,Colles fracture Ant. Or post. slab,ent,400.0,460.0,460.0
1113,Above elbow full plaster,ent,173.0,199.0,199.0
1114,Above Knee post-slab,ent,518.0,595.0,595.0
1115,Below Knee full plaster,ent,173.0,199.0,199.0
1116,Below Knee post-slab,ent,718.0,826.0,826.0
1117,Tube Plaster (or plaster cylinder),ent,800.0,920.0,920.0
1118,Above knee full plaster,ent,1265.0,1455.0,1455.0
1119,Above knee full slab,ent,1158.0,1332.0,1332.0
1120,Minerva Jacket,ent,2415.0,2777.0,2777.0
1121,Plaster Jacket,ent,1967.0,2262.0,2262.0
1122,Shoulder spica,ent,1760.0,2023.0,2023.0
1123,Single Hip spica,ent,2019.0,2321.0,2321.0
1124,Double Hip spica,ent,2484.0,2857.0,2857.0
1125,Strapping of Finger,ent,179.0,206.0,206.0
1126,Strapping of Toes,ent,180.0,207.0,207.0
1127,Strapping of Wrist,ent,230.0,265.0,265.0
1128,Strapping of Elbow,ent,262.0,301.0,301.0
1129,Strapping of Knee,ent,345.0,397.0,397.0
1130,Strapping of Ankle,ent,345.0,397.0,397.0
1131,Strapping of Chest,ent,460.0,529.0,529.0
1132,Strapping of Shoulder,ent,466.0,536.0,536.0
1133,Figure of 8 bandage,ent,518.0,596.0,596.0
1134,Collar and cuff sling,ent,255.0,300.0,300.0
1135,Ball bandage,ent,360.0,414.0,414.0
1136,Application of P.O.P Casts for Upper & Lower Limbs,ent,633.0,728.0,728.0
1137,Application of Functiol Cast Brace,ent,1350.0,1553.0,1553.0
1138,Application of Skin Traction,ent,690.0,794.0,794.0
1139,Application of Skeletal Tractions,ent,949.0,1091.0,1091.0
1140,Bandage & Strappings for Fractures,ent,552.0,635.0,635.0
1141,Aspiration & Intra Articular Injections,ent,575.0,661.0,661.0
1142,Application of P.O.P Spices & Jackets,ent,2473.0,2844.0,2844.0
1143,Close Reduction of Fractures of Limb & P.O.P,ent,2600.0,2990.0,2990.0
1144,Reduction of Compound Fractures,ent,2484.0,2857.0,2857.0
1145,Open Reduction & Internal Fixation of Fingurs & Toes,ent,5175.0,5951.0,5951.0
1146,"Open Reduction offracture of Long Bones of Upper / Lower
Limb -iling & Exterl Fixation",ent,8050.0,9258.0,9258.0
1147,"Open Reduction of fracture of Long Bones of Upper / Lower
Limb -AO Procedures",ent,9660.0,11109.0,11109.0
1148,Tension Band Wirings,ent,5658.0,6507.0,6507.0
1149,Bone Grafting,ent,6601.0,7591.0,7591.0
1150,Excision of Bone Tumours,ent,6900.0,7935.0,7935.0
1151,Excision or other Operations for Scaphoid Fractures,ent,7188.0,8266.0,8266.0
1152,Sequestrectomy & Saucerisation,ent,6900.0,7935.0,7935.0
1153,Sequestrectomy & Saucerizations -Arthrotomy,ent,8974.0,10320.0,10320.0
1154,Multiple Pinning Fracture Neck Femur,ent,11500.0,13225.0,13225.0
1155,Plate Fixations for Fracture Neck Femur,ent,13500.0,15525.0,15525.0
1156,A.O.Compression Procedures for Fracture Neck Femur,ent,14904.0,17140.0,17140.0
1157,"Open Reduction of Fracture Neck Femur Muscle Pedicle
Graft and Internal Fixations",ent,17550.0,20183.0,20183.0
1158,Close Reduction of Dislocations,ent,2857.0,3285.0,3285.0
1159,Open Reduction of Dislocations,ent,3095.0,3560.0,3560.0
1160,Open Reduction of Fracture Dislocation & Internal Fixation,ent,13500.0,15525.0,15525.0
1161,Neurolysis/Nerve repair,ent,13800.0,15870.0,15870.0
1162,Nerve Repair with Grafting,ent,16675.0,19176.0,19176.0
1163,Tendon with Transplant or Graft,ent,10350.0,11903.0,11903.0
1164,Tendon Lengthening/Tendon repair,ent,7245.0,8332.0,8332.0
1165,Tendon Transfer,ent,2795.0,3214.0,3214.0
1166,Laminectomy Excision Disc and Tumours,ent,4347.0,5000.0,5000.0
1167,Spil Ostectomy and Internal Fixations,ent,21735.0,24996.0,24996.0
1168,Anterolateral decompression for tuberculosis/ Costo- Transversectomy,ent,3450.0,3968.0,3968.0
1169,Antereolateral Decompression and Spil Fusion,ent,19350.0,22253.0,22253.0
1170,Corrective Ostectomy & Internal Fixation - short bones,ent,13800.0,15870.0,15870.0
1171,Corrective Ostectomy & Internal Fixation - long bones,ent,11040.0,12696.0,12696.0
1172,Arthrodesis of - Minor Joints,ent,10350.0,11903.0,11903.0
1173,Arthrodesis of - Major Joints,ent,10000.0,11500.0,11500.0
1174,Soft Tissue Operations for C.T.E.V.,ent,8050.0,9258.0,9258.0
1175,Soft Tissue Operations for Polio,ent,6900.0,7935.0,7935.0
1176,Hemiarthroplasty- Hip,ent,18000.0,20700.0,20700.0
1177,Hemiarthroplasty- Shoulder,ent,18000.0,20700.0,20700.0
1178,Operations for Brachial Plexus & Cervical Rib,ent,21735.0,24996.0,24996.0
1179,Amputations - Below Knee,ent,6900.0,7935.0,7935.0
1180,Amputations - Below Elbow,ent,6843.0,7869.0,7869.0
1181,Amputations - Above Knee,ent,8050.0,9258.0,9258.0
1182,Amputations - Above Elbow,ent,6159.0,7082.0,7082.0
1183,Amputations - Forequarter,ent,13225.0,15209.0,15209.0
1184,Amputations -Hind Quarter and Hemipelvectomy,ent,16560.0,19044.0,19044.0
1185,Disarticulations - Major joint,ent,18630.0,21425.0,21425.0
1186,Disarticulations - Minor joint,ent,12650.0,14548.0,14548.0
1187,Arthrography,ent,9200.0,10580.0,10580.0
1188,Arthroscopy - Diagnostic,ent,8568.0,9853.0,9853.0
1189,Arthroscopy-therapeutic: without implant,ent,10000.0,11500.0,11500.0
1190,Arthroscopy-therapeutic: with implant,ent,15525.0,17854.0,17854.0
1191,Soft Tissue Operation on JOINTS -SMALL,ent,6210.0,7142.0,7142.0
1192,Soft Tissue Operation on JOINTS -LARGE,ent,13500.0,15525.0,15525.0
1193,Myocutaneous and Fasciocutaneous Flap Procedures for Limbs,ent,16767.0,19283.0,19283.0
1194,Removal of Wires & Screw,ent,1760.0,2024.0,2024.0
1195,Removal of Plates,ent,4140.0,4761.0,4761.0
1196,Total Hip Replacement,ent,79000.0,90850.0,90850.0
1197,Total Ankle Joint Replacement,ent,95400.0,109710.0,109710.0
1198,Total Knee Joint Replacement,ent,110000.0,126500.0,126500.0
1199,Total Shoulder Joint Replacement,ent,71100.0,81765.0,81765.0
1200,Total Elbow Joint Replacement,ent,71100.0,81765.0,81765.0
1201,Total Wrist Joint Replacement,ent,100000.0,115000.0,115000.0
1202,Total finger joint replacement,ent,20000.0,23000.0,23000.0
1203,Tubular external fixator,ent,4140.0,4761.0,4761.0
1204,Ilizarov's external fixator,ent,7763.0,8927.0,8927.0
1205,Pelvi-acetebular fracture -Internal fixation,ent,8625.0,9919.0,9919.0
1206,Meniscectomy,ent,10800.0,12420.0,12420.0
1207,Meniscus Repair,ent,10000.0,11500.0,11500.0
1208,ACL Reconstruction,ent,8500.0,9775.0,9775.0
1209,PCL Reconstruction,ent,13500.0,15525.0,15525.0
1210,Knee Collateral Ligament Reconstruction,ent,12500.0,14375.0,14375.0
1211,Bencarf Repair Shoulder,ent,13200.0,15180.0,15180.0
1212,RC Repair,ent,1500.0,1725.0,1725.0
1213,Biceps tenodesis,ent,12600.0,14490.0,14490.0
1214,Distal biceps tendon repair,ent,10380.0,11937.0,11937.0
1215,Arthrolysis of knee,ent,12500.0,14375.0,14375.0
1216,Capsulotomy of Shoulder,ent,15800.0,18170.0,18170.0
1217,Conservative Pop,ent,1200.0,1380.0,1380.0
1218,Application for CTEV per sitting,ent,1200.0,1380.0,1380.0
1219,Total Hip Replacement Revision Stage-I,ent,17000.0,19550.0,19550.0
1220,Total Hip Replacement Revision Stage-II,ent,50000.0,57500.0,57500.0
1221,Total Knee Replacement Revision Stage-I,ent,35000.0,40250.0,40250.0
1222,Total Knee Replacement Revision Stage-II,ent,35000.0,40250.0,40250.0
1223,Illizarov/ external fixation for limb lengthening/ deformity correction,ent,11250.0,12938.0,12938.0
1224,Discectomy/ Micro Discectomy,ent,12500.0,14375.0,14375.0
1225,Laminectomy,ent,4646.0,5343.0,5343.0
1226,Spinal Fixation Cervical/dorsolumbar/ lumbosacral,ent,16000.0,18400.0,18400.0
1227,Fusion Surgery Cervical/ Lumbar Spine upto 2 Level,ent,22000.0,25300.0,25300.0
1228,More than 2 Level,ent,12000.0,13800.0,13800.0
1229,Scoliosis Surgery/ Deformity Correction of Spine,ent,25000.0,28750.0,28750.0
1230,Vertebroplasty,ent,12000.0,13800.0,13800.0
1231,Spinal Injections,ent,450.0,518.0,518.0
1232,DHS for Fracture Neck Femur,ent,13500.0,15525.0,15525.0
1233,Proximal Femoral Nail (PFN for IT Fracture),ent,12600.0,14490.0,14490.0
1234,Spinal Osteotomy,ent,1434.0,1649.0,1649.0
1235,Illizarov’s / External Fixation for Trauma,ent,11700.0,13455.0,13455.0
1236,Soft Tissue Operations for Polio/ Cerebral Palsy,ent,9501.0,11178.0,11178.0
1237,Mini Fixator for Hand/Foot,ent,8100.0,9315.0,9315.0
1238,Other Major Surgery,ent,34425.0,40500.0,40500.0
1239,Other Minor Surgery,ent,11883.0,13980.0,13980.0
1240,Ultrasonic therapy,ent,78.0,90.0,90.0
1241,S.W. Diathermy,ent,78.0,90.0,90.0
1242,Electrical stimulation (therapeutic),ent,78.0,90.0,90.0
1243,Muscle testing and diagnostic,ent,71.0,82.0,82.0
1244,Infra red,ent,70.0,81.0,81.0
1245,U.V. Therapeutic dose,ent,58.0,67.0,67.0
1246,Intermittent Lumbar Traction,ent,78.0,90.0,90.0
1247,Intermittent Cervical traction,ent,75.0,86.0,86.0
1248,Wax bath,ent,75.0,86.0,86.0
1249,Hot pack,ent,78.0,90.0,90.0
1250,Breathing Exercises & Postural Drainage,ent,50.0,58.0,58.0
1251,Cerebral Palsy – exercise,ent,50.0,58.0,58.0
1252,Post – polio exercise,ent,50.0,58.0,58.0
1253,Cobalt 60 therapy,nuclear_medicine,57375.0,67500.0,67500.0
1254,Radical therapy,nuclear_medicine,61583.0,70820.0,70820.0
1255,Palliative therapy,nuclear_medicine,21994.0,25294.0,25294.0
1256,Linear accelerator,nuclear_medicine,26775.0,31500.0,31500.0
1257,Radical therapy,nuclear_medicine,52785.0,60703.0,60703.0
1258,Palliative therapy,nuclear_medicine,30792.0,35411.0,35411.0
1259,3 D Planning,nuclear_medicine,4888.0,5621.0,5621.0
1260,2 D Planing,nuclear_medicine,4888.0,5621.0,5621.0
1261,IMRT(Intensity Modulated radiotherapy),nuclear_medicine,90790.0,104409.0,104409.0
1262,SRT (Stereotactic radiotherapy),nuclear_medicine,54896.0,63131.0,63131.0
1263,SRS(Stereotactic radio surgery),nuclear_medicine,72491.0,83365.0,83365.0
1264,IGRT(Image guided radiotherapy),nuclear_medicine,147016.0,169068.0,169068.0
1265,Respiratory Gating-alongwith Linear accelerator planning,nuclear_medicine,110000.0,126500.0,126500.0
1266,Electron beam with Linear accelerator,nuclear_medicine,67473.0,79380.0,79380.0
1267,Tomotherapy,nuclear_medicine,79400.0,91310.0,91310.0
1268,Intracavitory,nuclear_medicine,11730.0,13490.0,13490.0
1269,Interstitial,nuclear_medicine,52785.0,60703.0,60703.0
1270,Intraluminal,nuclear_medicine,8798.0,10117.0,10117.0
1271,Surface mould,nuclear_medicine,4644.0,5341.0,5341.0
1272,GLIADAL WAFER,nuclear_medicine,93900.0,107985.0,107985.0
1273,Neoadjuvant,nuclear_medicine,863.0,992.0,992.0
1274,Adjuvant,nuclear_medicine,863.0,992.0,992.0
1275,Concurrent-chemoadiation,nuclear_medicine,920.0,1058.0,1058.0
1276,Single drug,nuclear_medicine,552.0,635.0,635.0
1277,Multiple drugs,nuclear_medicine,897.0,1032.0,1032.0
1278,Targeted therapy,nuclear_medicine,920.0,1058.0,1058.0
1279,Chemoport facility,nuclear_medicine,920.0,1058.0,1058.0
1280,PICC line (peripherally inserted Central canulisation),nuclear_medicine,920.0,1058.0,1058.0
1281,Upper G.I. Endoscopy + Lower G.I. Endoscopy,ent,1725.0,1984.0,1984.0
1282,Diagnostic endoscopy,ent,250.0,288.0,288.0
1283,Endoscopic biopsy,ent,345.0,397.0,397.0
1284,Endoscopic mucosal resection,ent,1543.0,1815.0,1815.0
1285,Oesophageal stricture dilatation,ent,1725.0,1984.0,1984.0
1286,Balloon dilatation of achalasia cardia,ent,2588.0,2975.0,2975.0
1287,Foreign body removal,ent,1725.0,1984.0,1984.0
1288,Oesophageal stenting,ent,3000.0,3450.0,3450.0
1289,Band ligation of oesophageal varices,ent,2500.0,2875.0,2875.0
1290,Sclerotherapy of oesophageal varices,ent,2500.0,2875.0,2875.0
1291,Glue injection of varices,ent,2500.0,2875.0,2875.0
1292,Argon plasma coagulation,ent,3623.0,4166.0,4166.0
1293,Pyloric balloon dilatation,ent,2415.0,2777.0,2777.0
1294,Enteranal stenting,ent,3312.0,3809.0,3809.0
1295,Duodenal stricture dilation,ent,990.0,1139.0,1139.0
1296,Single balloon enterocopy,ent,4000.0,4600.0,4600.0
1297,Double balloon enteroscopy,ent,3500.0,4025.0,4025.0
1298,Capsule endoscopy,ent,4950.0,5693.0,5693.0
1299,Piles banding,ent,989.0,1138.0,1138.0
1300,Colonic stricture dilatation,ent,2463.0,2833.0,2833.0
1301,Hot biopsy forceps procedures,ent,3000.0,3450.0,3450.0
1302,Colonic stenting,ent,2463.0,2833.0,2833.0
1303,Junction biopsy,ent,1800.0,2070.0,2070.0
1304,Conjugal microscopy,ent,4000.0,4600.0,4600.0
1305,Endoscopic sphincterotomy,ent,2415.0,2777.0,2777.0
1306,CBD stone extraction,ent,2415.0,2777.0,2777.0
1307,CBD stricture dilatation,ent,5850.0,6728.0,6728.0
1308,Biliary stenting (plastic and metallic),ent,4347.0,5000.0,5000.0
1309,Mechanical lithotripsy of CBD stones,ent,8000.0,9200.0,9200.0
1310,Pancreatic sphincterotomy,ent,6375.0,7500.0,7500.0
1311,Pancreatic stricture dilatation,ent,5750.0,6613.0,6613.0
1312,Pancreatic stone extraction,ent,10098.0,11613.0,11613.0
1313,Mechanical lithotripsy of pancreatic stones,ent,10247.0,11784.0,11784.0
1314,Endoscopic cysto gastrostomy,ent,8050.0,9258.0,9258.0
1315,Balloon dilatation of papilla,ent,6900.0,7935.0,7935.0
1316,Ultrasound guided FNAC,ent,575.0,661.0,661.0
1317,Ultrasound guided abscess Drainage,ent,648.0,745.0,745.0
1318,PTBD,ent,1150.0,1323.0,1323.0
1319,Diagnostic angiography,ent,1800.0,2070.0,2070.0
1320,Vascular embolization,ent,15100.0,17365.0,17365.0
1321,TIPS,ent,4860.0,5589.0,5589.0
1322,IVC graphy + hepatic veinography,ent,30791.0,35410.0,35410.0
1323,Muscular stenting,ent,87975.0,101172.0,101172.0
1324,BRTO,ent,57500.0,66125.0,66125.0
1325,Portal haemodymic studies,ent,1722.0,2025.0,2025.0
1326,Manometry and PH metry,ent,1451.0,1707.0,1707.0
1327,Oesophageal PH metry,ent,5000.0,5750.0,5750.0
1328,Oesophageal manometry,ent,5000.0,5750.0,5750.0
1329,Small bowel manometry,ent,6800.0,8000.0,8000.0
1330,Anorectal manometry,ent,6120.0,6200.0,6200.0
1331,Colonic manometry,ent,6885.0,8100.0,8100.0
1332,Biliary manometry,ent,7650.0,9000.0,9000.0
1333,Sengstaken blackenesse tube tempode,ent,2588.0,2975.0,2975.0
1334,Lintas machles tube tempode,ent,2588.0,2975.0,2975.0
1335,Fecal fat test/ fecal chymotrypsin/ fecal elastase,ent,350.0,403.0,403.0
1336,Breath tests,ent,300.0,345.0,345.0
1337,Extra corporeal shortwave lithotripsy,ent,37260.0,42849.0,42849.0
1338,Liver biopsy,ent,1380.0,1587.0,1587.0
1339,Dental IOPA X-ray,dental,50.0,58.0,58.0
1340,Occlusal X-ray,dental,78.0,90.0,90.0
1341,OPG X-ray,dental,196.0,225.0,225.0
1342,Lung Ventilation & Perfusion Scan (V/Q Scan),dental,3600.0,4140.0,4140.0
1343,Lung Perfusion Scan,dental,2000.0,2300.0,2300.0
1344,Whole Body Bone Scan with SPECT.,dental,3421.0,3934.0,3934.0
1345,Three phase whole body Bone Scan,dental,3421.0,3934.0,3934.0
1346,Brain Perfusion SPECT Scan with Technetium 99m radiopharmaceuticals.,dental,8798.0,10117.0,10117.0
1347,Radionuclide Cisternography for CSF leak,dental,3740.0,4400.0,4400.0
1348,Gastro esophageal Reflux Study (G.E.R. Study),dental,1955.0,2248.0,2248.0
1349,"Gastro intestinal Bleed (GloB.) Study with Technetium 99m
labeled RBCs.",dental,3421.0,3934.0,3934.0
1350,Hepatobiliary Scintigraphy.,dental,2444.0,2811.0,2811.0
1351,Meckel's Scan,dental,1955.0,2248.0,2248.0
1352,Hepatosplenic scintigraphy with Technetium-99m radiopharmaceuticals,dental,1870.0,2200.0,2200.0
1353,Gastric emptying,dental,1275.0,1466.0,1466.0
1354,Renal Cortical Scintigraphy with Technetium 99m D.M.S.A.,dental,3421.0,3934.0,3934.0
1355,Dynamic Renography.,dental,3421.0,3934.0,3934.0
1356,Dynamic Renography with Diuretic.,dental,3421.0,3934.0,3934.0
1357,Dynamic Renography with Captopril,dental,1960.0,2254.0,2254.0
1358,Testicular Scan,dental,1445.0,1700.0,1700.0
1359,Thyroid Uptake measurements with 131-Iodine.,dental,1564.0,1799.0,1799.0
1360,Thyroid Scan with Technetium 99m Pertechnetate.,dental,1615.0,1900.0,1900.0
1361,Lodine-131 Whole Body Scan.,dental,2933.0,3373.0,3373.0
1362,Whole Body Scan with M.I.B.G.,dental,17595.0,20234.0,20234.0
1363,Parathyroid Scan,dental,4399.0,5059.0,5059.0
1364,131-lodine Therapy,dental,1377.0,1620.0,1620.0
1365,131-lodine Therapy <15mCi,dental,3854.0,4432.0,4432.0
1366,131-lodine Therapy 15-50mCi,dental,4956.0,5699.0,5699.0
1367,131-lodine Therapy 51-100mCi,dental,10800.0,12420.0,12420.0
1368,131-lodine Therapy >100mCi,dental,13500.0,15525.0,15525.0
1369,Phosphorus-32 therapy for metastatic bone pain palliation,dental,5000.0,5750.0,5750.0
1370,Samarium-153 therapy for metastatic bone pain palliation,dental,10450.0,12018.0,12018.0
1371,Radiosynovectomy with Yttrium,dental,19125.0,22500.0,22500.0
1372,Stress thallium / Myocardial Perfusion Scintigraphy,cardiology,8505.0,9781.0,9781.0
1373,Rest thallium / Myocardial Perfusion Scintigraphy,cardiology,7200.0,8280.0,8280.0
1374,Venography,cardiology,3300.0,3595.0,3595.0
1375,TMT,cardiology,950.0,1120.0,1120.0
1376,TEE,cardiology,489.0,562.0,562.0
1377,Lymph angiography,cardiology,1613.0,1855.0,1855.0
1378,Scintimammography.,cardiology,4800.0,5520.0,5520.0
1379,Indium lableled octeriotide Scan.,cardiology,65981.0,75879.0,75879.0
1380,FDG Whole body PET/CT Scan,cardiology,10000.0,11500.0,11500.0
1381,Brain/Heart FDG PET/CT Scan,cardiology,10000.0,11500.0,11500.0
1382,Gallium-68 Peptide PET/CT imaging for Neuroendocrine tumor,cardiology,10000.0,11500.0,11500.0
1383,Urine routine- pH Specific gravity sugar protein and microscopy,laboratory,35.0,40.0,40.0
1384,Urine-Microalbumin,laboratory,63.0,73.0,73.0
1385,Stool routine,laboratory,31.0,36.0,36.0
1386,Stool occult blood,laboratory,22.0,25.0,25.0
1387,Post coital smear examination,laboratory,30.0,35.0,35.0
1388,Semen analysis,laboratory,35.0,40.0,40.0
1389,Haemoglobin (Hb),laboratory,18.0,21.0,21.0
1390,Total Leucocytic Count (TLC),laboratory,28.0,32.0,32.0
1391,Differential Leucocytic Count (DLC),laboratory,28.0,32.0,32.0
1392,E.S.R.,laboratory,25.0,29.0,29.0
1393,Total Red Cell count with MCVMCHMCHCDRW,laboratory,32.0,37.0,37.0
1394,"Complete Haemogram/CBC HbRBC count and indices
TLC DLC Platelet ESR Peripheral smear examination",laboratory,135.0,155.0,155.0
1395,Platelet count,laboratory,48.0,55.0,55.0
1396,Reticulocyte count,laboratory,43.0,50.0,50.0
1397,Absolute Eosinophil count,laboratory,48.0,55.0,55.0
1398,Packed Cell Volume (PCV),laboratory,13.0,15.0,15.0
1399,Peripheral Smear Examination,laboratory,39.0,44.0,44.0
1400,Smear for Malaria parasite,laboratory,41.0,47.0,47.0
1401,Bleeding Time,laboratory,32.0,36.0,36.0
1402,Osmotic fragility Test,laboratory,50.0,58.0,58.0
1403,Bone Marrow Smear Examination,laboratory,70.0,81.0,81.0
1404,Bone Marrow Smear Examination with iron stain,laboratory,225.0,259.0,259.0
1405,Bone Marrow Smear Examination and cytochemistry,laboratory,396.0,455.0,455.0
1406,Activated partial ThromboplastinTime (APTT),laboratory,92.0,105.0,105.0
1407,Rapid test for malaria(card test),laboratory,44.0,51.0,51.0
1408,WBC cytochemistry for leukemia -Complete panel,laboratory,99.0,144.0,144.0
1409,"Bleeding Disorder panel- PT APTT Thrombin Time
Fibrinogen D-Dimer/ FDP",laboratory,360.0,414.0,414.0
1410,Factor Assays-Factor VIII,laboratory,630.0,745.0,745.0
1411,Factor Assays-Factor IX,laboratory,680.0,782.0,782.0
1412,Platelet Function test,laboratory,50.0,58.0,58.0
1413,Tests for hypercoagulable states- Protein C Protein S Antithrombin,laboratory,400.0,460.0,460.0
1414,Tests for lupus anticoagulant,laboratory,150.0,173.0,173.0
1415,"Tests for Antiphospholipid antibody IgG IgM ( for cardiolipin and B2
Glycoprotein 1)",laboratory,450.0,518.0,518.0
1416,Thalassemia studies (Red Cell indices and Hb HPLC),laboratory,560.0,644.0,644.0
1417,Tests for Sickling / Hb HPLC),laboratory,77.0,89.0,89.0
1418,Blood Group & RH Type,laboratory,30.0,35.0,35.0
1419,Cross match,laboratory,50.0,58.0,58.0
1420,Coomb’s Test Direct,laboratory,90.0,104.0,104.0
1421,Coomb’s Test Indirect,laboratory,100.0,115.0,115.0
1422,3 cell panel- antibody screening for pregnant female,laboratory,153.0,180.0,180.0
1423,11 cells panel for antibody identification,laboratory,170.0,200.0,200.0
1424,HBs Ag,laboratory,92.0,108.0,108.0
1425,HCV,laboratory,128.0,150.0,150.0
1426,HIV I and II,laboratory,150.0,173.0,173.0
1427,VDRL,laboratory,43.0,50.0,50.0
1428,RH Antibody titer,laboratory,80.0,92.0,92.0
