sr_no,procedure,category,min_price,avg_price,max_price
767,Internal urethrotomy -Core through urethroplasty,ent,9936.0,11426.0,11426.0
768,Urethral Reconstruction -End to end ansatamosis,ent,3450.0,3968.0,3968.0
769,"Urethral Reconstruction - substitution urethroplasty (Transpubic
urethroplasty",ent,17595.0,20235.0,20235.0
770,Abdomino Perineal urethroplasty,ent,12600.0,14490.0,14490.0
771,Posterior Urethral Valve fulguration.,ent,10143.0,11665.0,11665.0
772,Operations for Incontinence of Urine - Male -Open,ent,15525.0,17854.0,17854.0
773,Operations for Incontinence of Urine - Male -Sling,ent,16560.0,19044.0,19044.0
774,Operations for Incontinence of Urine - Male-Bulking agent,ent,17492.0,20115.0,20115.0
775,Operations for Incontinence of Urine - Female -Open,ent,15525.0,17854.0,17854.0
776,Operations for Incontinence of Urine - Female-Sling,ent,16560.0,19044.0,19044.0
777,Operations for Incontinence of Urine - Female-Bulking agent,ent,17492.0,20115.0,20115.0
778,Reduction of Paraphimosis,ent,1553.0,1786.0,1786.0
779,Circumcision,ent,3000.0,3450.0,3450.0
780,Meatotomy,ent,2346.0,2698.0,2698.0
781,Meatoplasty,ent,2898.0,3333.0,3333.0
782,Operations for Hypospadias + Chordee Correction,ent,8280.0,9522.0,9522.0
783,Operations for Hypospadias - Second Stage,ent,13500.0,15525.0,15525.0
784,Operations for Hypospadias - One Stage Repair,ent,9200.0,10580.0,10580.0
785,Operations for Crippled Hypospadias,ent,11500.0,13225.0,13225.0
786,Operations for Epispadias _primary repair,ent,11334.0,13034.0,13034.0
787,Operations for Epispadias-crippled epispadias,ent,10247.0,11784.0,11784.0
788,Partial Amputation of the Penis,ent,9688.0,11141.0,11141.0
789,Total amputation of the Penis,ent,10800.0,12420.0,12420.0
790,Orchidectomy-Simple,ent,9775.0,11241.0,11241.0
791,Orchidectomy -Radical,ent,10868.0,12498.0,12498.0
792,Post Radical Orchidectomy retroperitoneal lymph node dissection.,ent,14000.0,16100.0,16100.0
793,Epididymectomy,ent,15938.0,18750.0,18750.0
794,Adreneclectomy Unilateral/Bilateral for Tumour/For Carcinoma- Open,ent,22770.0,26186.0,26186.0
795,"Adreneclectomy Unilateral/Bilateral for Tumour/For Carcinoma -
Lap/Endoscopic",ent,12938.0,14878.0,14878.0
796,Operations for Hydrocele - Unilateral,ent,5865.0,6745.0,6745.0
797,Operations for Hydrocele - Bilateral,ent,7700.0,8855.0,8855.0
798,Operation for Torsion of Testis,ent,11500.0,13225.0,13225.0
